 1       3289907017       10 
 1       5380504917       20 
-1       6920601074       30 
 3       8794931675       40 
 3       9266790074       50 
 2      11186994175       60 
 2      11475353550       70 
 2      11678515660       80 
 2      11855461949       90 
 2      12084837925      100 
 0      12628787144      110 
 0      14162329136      120 
 3      14162329136      120 
-1      15427173828      130 
-1      17760255859      140 
-1      21843148437      150 
-1      24661197265      160 
-1      27295744140      170 
 3      28088730503      180 
-1      30389042968      190 
-1      31345869140      200 
-1      34157363281      210 
 0      35428761753      220 
 3      36044800816      230 
-1      39295386718      240 
-1      40265320312      250 
 3      42146203160      260 
-1      44131941406      270 
-1      46320847656      280 
-1      49394480468      290 
 0      50475828160      300 
 3      52907210972      310 
 3      55397578160      320 
-1      56688640625      330 
-1      58753023437      340 
 3      62285414097      350 
-1      64598839843      360 
-1      65018265625      370 
 3      65339394566      380 
-1      65575328125      390 
-1      68924210937      400 
-1      71126218750      410 
-1      76565710937      420 
