90660             10      
91684             20      
91342             30      
93397             40      
96841             50      
98319             60      
100061            70      
101368            80      
102611            90      
103607            100     
103239            110     
102532            120     
101461            130     
97414             140     
95367             150     
90154             160     
86198             170     
85115             180     
84146             190     
83377             200     
82681             210     
81955             220     
79863             230     
77490             240     
76621             250     
74976             260     
73047             270     
73998             280     
73746             290     
72918             300     
74461             310     
74561             320     
74717             330     
74482             340     
75198             350     
75267             360     
73259             370     
73429             380     
73871             390     
72870             400     
73087             410     
71632             420     
